time,KE,T,PE,total E
1.27,799.679761329,1.04124968923,-2461.73961353,-1662.0598522
1.275,796.443185442,1.03703539771,-2458.50457419,-1662.06138875
1.28,794.088100826,1.03396888128,-2456.16364722,-1662.0755464
1.285,792.492326301,1.03189104987,-2454.57780676,-1662.08548046
1.29,791.587628255,1.03071305762,-2453.66038517,-1662.07275691
1.295,791.563923318,1.03068219182,-2453.60394666,-1662.04002335
1.3,792.830235881,1.0323310363,-2454.8461733,-1662.01593742
1.305,795.614524649,1.0359564123,-2457.64960596,-1662.03508131
1.31,799.527691627,1.04105168181,-2461.62167762,-1662.09398599
1.315,803.619216854,1.04637918861,-2465.77359112,-1662.15437427
1.32,806.910138467,1.0506642428,-2469.09127052,-1662.18113206
1.325,808.865052173,1.05320970335,-2471.03581953,-1662.17076736
1.33,809.524889977,1.05406886716,-2471.65676614,-1662.13187616
1.335,809.381788064,1.05388253654,-2471.46170713,-1662.07991907
1.34,809.116465858,1.05353706492,-2471.16056866,-1662.0441028
1.345,809.265226117,1.05373076317,-2471.30001909,-1662.03479298
1.35,809.978398768,1.0546593734,-2472.03047275,-1662.05207399
1.355,811.060233587,1.05606801248,-2473.13744862,-1662.07721504
1.36,812.213331382,1.0575694419,-2474.30353266,-1662.09020128
1.365,813.273196282,1.05894947433,-2475.36578672,-1662.09259044
1.37,814.235787491,1.0602028483,-2476.32310775,-1662.08732025
1.375,815.164205467,1.06141172587,-2477.24634636,-1662.08214089
1.38,816.145227318,1.06268909807,-2478.22003942,-1662.0748121
1.385,817.277879934,1.06416390616,-2479.34883832,-1662.07095839
1.39,818.624901649,1.06591784069,-2480.70046666,-1662.07556501
1.395,820.128049957,1.06787506505,-2482.21906835,-1662.09101839
1.4,821.592324819,1.06978167294,-2483.69890457,-1662.10657975
1.405,822.783169293,1.07133225168,-2484.89822212,-1662.11505283
1.41,823.5939123,1.07238790664,-2485.69648958,-1662.10257728
1.415,824.157526997,1.07312177994,-2486.23324378,-1662.07571678
1.42,824.813471872,1.07397587483,-2486.86043052,-1662.04695864
1.425,825.940368244,1.07544318782,-2487.96973798,-1662.02936973
1.43,827.736448017,1.07778183336,-2489.76950902,-1662.03306101
1.435,830.07223248,1.08082321937,-2492.13035964,-1662.05812716
1.44,832.521487355,1.08401235333,-2494.61464124,-1662.09315389
1.445,834.536250656,1.08663574304,-2496.6601997,-1662.12394905
1.45,835.634183701,1.08806534336,-2497.77649813,-1662.14231443
1.455,835.486198776,1.08787265466,-2497.63809166,-1662.15189289
1.46,833.946803737,1.08586823403,-2496.09596314,-1662.1491594
1.465,831.122475252,1.08219072298,-2493.24862857,-1662.12615332
1.47,827.477978173,1.07744528408,-2489.55331692,-1662.07533874
1.475,823.833242413,1.07269953439,-2485.84977461,-1662.0165322
1.48,821.095948566,1.0691353497,-2483.0768785,-1661.98092993
1.485,819.827947505,1.06748430665,-2481.81638537,-1661.98843787
1.49,819.984017448,1.06768752272,-2482.01030988,-1662.02629243
1.495,821.015940748,1.06903117285,-2483.08953462,-1662.07359387
1.5,822.203622431,1.07057763337,-2484.31149163,-1662.1078692
1.505,822.999968268,1.07161454202,-2485.11353098,-1662.11356271
1.51,823.244969537,1.07193355409,-2485.33675193,-1662.09178239
1.515,823.153706159,1.07181472156,-2485.21545611,-1662.06174995
1.52,823.09212603,1.0717345391,-2485.13206996,-1662.03994393
1.525,823.322429515,1.07203441343,-2485.35764427,-1662.03521475
1.53,823.893968659,1.07277860503,-2485.93992511,-1662.04595645
1.535,824.651631941,1.07376514576,-2486.71628966,-1662.06465772
1.54,825.274275237,1.07457587921,-2487.36883207,-1662.09455683
1.545,825.305929299,1.07461709544,-2487.43914985,-1662.13322055
1.55,824.211315488,1.07319181704,-2486.38310792,-1662.17179243
1.555,821.537964943,1.06971089185,-2483.7276667,-1662.18970175
1.56,817.130015376,1.06397137419,-2479.31050091,-1662.18048553
1.565,811.3127196,1.05639677031,-2473.44446383,-1662.13174423
1.57,804.97330651,1.04814232618,-2467.02943091,-1662.0561244
1.575,799.368391271,1.04084425947,-2461.35318534,-1661.98479407
1.58,795.669003374,1.03602734814,-2457.6147842,-1661.94578082
1.585,794.566161294,1.03459135585,-2456.50995338,-1661.94379209
1.59,796.131610536,1.03662970122,-2458.10695314,-1661.97534261
1.595,799.868378001,1.04149528386,-2461.8973697,-1662.0289917
1.6,804.877625455,1.04801774148,-2466.96682412,-1662.08919867
1.605,810.14254478,1.05487310518,-2472.27664992,-1662.13410514
1.61,814.876027361,1.06103649396,-2477.02387485,-1662.14784749
1.615,818.717024575,1.06603779242,-2480.85445548,-1662.13743091
1.62,821.689107134,1.06990769158,-2483.80299894,-1662.11389181
1.625,824.045419305,1.07297580639,-2486.13132866,-1662.08590935
1.63,826.111637712,1.07566619494,-2488.17698277,-1662.06534506
1.635,828.13609591,1.07830220822,-2490.19487306,-1662.05877715
1.64,830.149298028,1.08092356514,-2492.22457796,-1662.07527993
1.645,831.897538785,1.08319992029,-2494.00653327,-1662.10899449
1.65,832.877056798,1.08447533437,-2495.02698395,-1662.14992715
1.655,832.501372053,1.08398616153,-2494.68450162,-1662.18312957
1.66,830.354949922,1.08119134104,-2492.54273893,-1662.18778901
1.665,826.471790686,1.07613514412,-2488.62299265,-1662.15120196
1.67,821.459797391,1.06960911119,-2483.54915949,-1662.0893621
1.675,816.253870904,1.06283056107,-2478.29486838,-1662.04099748
1.68,811.640111115,1.05682306135,-2473.6652089,-1662.02509778
1.685,807.983812971,1.05206225647,-2470.01122828,-1662.02741531
1.69,805.348225305,1.0486305017,-2467.37896196,-1662.03073665
1.695,803.741921562,1.04653896037,-2465.77155907,-1662.02963751
1.7,803.207471513,1.04584306187,-2465.23810596,-1662.03063445
1.705,803.760032675,1.04656254255,-2465.79673966,-1662.03670699
1.71,805.315733227,1.04858819431,-2467.36010264,-1662.04436941
1.715,807.724996092,1.05172525533,-2469.77552062,-1662.05052453
1.72,810.874950482,1.05582675844,-2472.92130397,-1662.04635349
1.725,814.753499144,1.06087695201,-2476.78711119,-1662.03361204
1.73,819.448221682,1.06698987198,-2481.46656398,-1662.0183423
1.735,825.053532249,1.07428845345,-2487.06461728,-1662.01108503
1.74,831.518202877,1.08270599333,-2493.54017769,-1662.02197482
1.745,838.518066645,1.09182039928,-2500.56915721,-1662.05109057
1.75,845.461670562,1.10086155021,-2507.54966055,-1662.08798999
1.755,851.638490563,1.10890428459,-2513.75957301,-1662.12108245
1.76,856.415649826,1.11512454404,-2518.55580958,-1662.14015975
1.765,859.387244531,1.11899380798,-2521.53164238,-1662.14439785
1.77,860.429255022,1.12035059248,-2522.56044875,-1662.13119373
1.775,859.675054946,1.11936856113,-2521.78489767,-1662.10984272
1.78,857.414946251,1.11642571126,-2519.50580599,-1662.09085973
1.785,853.95876018,1.11192546898,-2516.03771249,-1662.07895231
1.79,849.578959537,1.10622260356,-2511.64611091,-1662.06715137
1.795,844.540312288,1.09966186496,-2506.59124902,-1662.05093673
1.8,839.15110321,1.09264466564,-2501.18420135,-1662.03309814
1.805,833.784318087,1.08565666418,-2495.7960273,-1662.01170922
1.81,828.873386329,1.07926222178,-2490.86324611,-1661.98985978
1.815,824.862603211,1.07403984793,-2486.83444958,-1661.97184637
1.82,822.106891438,1.07045168156,-2484.07599858,-1661.96910715
1.825,820.765234815,1.06870473283,-2482.74909056,-1661.98385575
1.83,820.696429463,1.06861514253,-2482.71223095,-1662.01580149
1.835,821.425481291,1.06956442876,-2483.48714605,-1662.06166476
1.84,822.260653507,1.07065189259,-2484.3625817,-1662.1019282
1.845,822.579652364,1.07106725568,-2484.69630687,-1662.1166545
1.85,822.11294104,1.07045955865,-2484.21340144,-1662.1004604
1.855,821.036729058,1.06905824096,-2483.09652207,-1662.05979301
1.86,819.881014073,1.06755340374,-2481.89363228,-1662.01261821
1.865,819.292031848,1.0667864998,-2481.27126114,-1661.97922929
1.87,819.713236606,1.0673349435,-2481.6905085,-1661.97727189
1.875,821.156166342,1.06921375826,-2483.16287385,-1662.00670751
1.88,823.199901198,1.07187487135,-2485.25059611,-1662.05069492
1.885,825.19312815,1.07447021894,-2487.28464691,-1662.09151876
1.89,826.555357322,1.07624395485,-2488.66649965,-1662.11114232
1.895,827.040708457,1.07687592247,-2489.13873355,-1662.09802509
1.9,826.883500204,1.07667122422,-2488.93585182,-1662.05235162
1.905,826.794356667,1.07655515191,-2488.78024651,-1661.98588984
1.91,827.764310635,1.07781811281,-2489.68747834,-1661.92316771
1.915,830.662660872,1.08159200634,-2492.56247831,-1661.89981743
1.92,835.741398014,1.08820494533,-2497.68068527,-1661.93928726
1.925,842.31690178,1.09676679919,-2504.35412269,-1662.03722091
1.93,848.861196595,1.1052880164,-2511.01676736,-1662.15557076
1.935,853.514331872,1.11134678629,-2515.76947144,-1662.25513957
1.94,854.730098024,1.11292981514,-2517.03373448,-1662.30363646
1.945,851.702959161,1.10898822807,-2514.00330265,-1662.30034349
1.95,844.464246828,1.09956282139,-2506.72127328,-1662.25702645
1.955,833.759354147,1.08562415905,-2495.94202154,-1662.18266739
1.96,820.883275375,1.06885843148,-2482.96533638,-1662.082061
1.965,807.540974583,1.05148564399,-2469.507466,-1661.96649142
1.97,795.659067471,1.03601441077,-2457.51596571,-1661.85689824
1.975,786.991179679,1.02472809854,-2448.78573261,-1661.79455293
1.98,782.547180746,1.0189416416,-2444.35436568,-1661.80718494
1.985,782.216123232,1.01851057712,-2444.09685849,-1661.88073526
1.99,784.946289128,1.02206548064,-2446.9222228,-1661.97593367
1.995,789.315096016,1.02775403127,-2451.36891484,-1662.05381883
2.0,794.043103966,1.03391029162,-2456.14599823,-1662.10289426
2.005,798.275101905,1.03942070561,-2460.39376864,-1662.11866674
2.01,801.633704567,1.04379388616,-2463.74855779,-1662.11485323
2.015,804.031878789,1.04691650884,-2466.14683677,-1662.11495798
2.02,805.366577069,1.04865439722,-2467.49561167,-1662.1290346
2.025,805.435117237,1.04874364224,-2467.56803654,-1662.1329193
2.03,804.187759805,1.04711947891,-2466.29645462,-1662.10869482
2.035,801.964325587,1.04422438227,-2464.02925456,-1662.06492897
2.04,799.416140215,1.04090643257,-2461.44024685,-1662.02410664
2.045,797.185457972,1.0380018984,-2459.19034003,-1662.00488206
2.05,795.654609884,1.03600860662,-2457.66394951,-1662.00933963
2.055,794.947268055,1.03508758861,-2456.96547822,-1662.01821017
2.06,795.148049076,1.03534902223,-2457.15079223,-1662.00274315
2.065,796.576664894,1.03720919908,-2458.54398012,-1661.96731522
2.07,799.785085296,1.04138682981,-2461.72351597,-1661.93843067
2.075,805.107514048,1.04831707558,-2467.06791057,-1661.96039653
2.08,812.1250333,1.05745447044,-2474.16462866,-1662.03959536
2.085,819.601305696,1.06718920013,-2481.73882748,-1662.13752179
2.09,826.003591701,1.07552551003,-2488.21162815,-1662.20803645
2.095,830.1762006,1.08095859453,-2492.4017335,-1662.2255329
2.1,831.729765667,1.08298146571,-2493.91919499,-1662.18942932
2.105,831.06344852,1.08211386526,-2493.18150639,-1662.11805787
2.11,829.15122233,1.07962398741,-2491.1881133,-1662.03689097
